########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

124544	4.41718e-06
124672	5.14436e-06
124800	4.46032e-06
124928	4.56273e-06
125056	4.3622e-06
125184	4.62329e-06
125312	6.37067e-06
125440	4.62541e-06
125568	4.30064e-06
125696	8.91119e-06
125824	7.34298e-06
125952	3.8825e-06
126080	3.59017e-06
126208	4.06968e-06
126336	4.16138e-06
126464	4.04096e-06
126592	3.95959e-06
126720	3.31754e-06
126848	3.41849e-06
126976	3.54658e-06
127104	3.1396e-06
127232	3.40803e-06
127360	3.16715e-06
127488	3.21161e-06
127616	2.90358e-06
127744	2.80582e-06
127872	2.92455e-06
128000	2.67558e-06
128128	2.58939e-06
128256	2.60427e-06
128384	2.73178e-06
128512	2.43879e-06
128640	2.52668e-06
128768	2.49194e-06
128896	2.54398e-06
129024	2.27934e-06
129152	2.28739e-06
129280	2.08045e-06
129408	2.63922e-06
129536	2.05402e-06
129664	2.09203e-06
129792	2.01046e-06
129920	2.13529e-06
130048	1.71199e-06
130176	1.7449e-06
130304	1.71949e-06
130432	1.83302e-06
130560	1.76072e-06
130688	1.52846e-06
130816	1.55829e-06
130944	1.38705e-06
131072	1.60955e-06
131200	1.37032e-06
131328	1.50121e-06
131456	1.37885e-06
131584	1.19616e-06
131712	1.23186e-06
131840	1.18581e-06
131968	1.0497e-06
132096	1.06199e-06
132224	1.03739e-06
132352	9.88767e-07
132480	9.69047e-07
132608	8.91991e-07
132736	9.55104e-07
132864	2.1726e-06
132992	0.166023
133120	0.0548756
133248	0.0693164
133376	0.0319462
133504	0.00232118
133632	0.00143739
133760	0.00126613
133888	0.000486939
134016	0.000921988
134144	0.000499705
134272	0.000372774
134400	0.000423712
134528	0.00047377
134656	0.000340504
134784	0.000310436
134912	0.000439905
135040	0.000234194
135168	0.00029818
135296	0.000239111
135424	0.000158634
135552	0.000109135
135680	0.000124138
135808	0.000241306
135936	0.000193154
136064	0.000167742
136192	0.000122525
136320	0.000242398
136448	9.142e-05
136576	8.34772e-05
136704	9.86911e-05
136832	8.77583e-05
136960	6.11169e-05
137088	0.000113689
137216	5.46353e-05
137344	6.84807e-05
137472	3.98518e-05
137600	6.27443e-05
137728	3.62582e-05
137856	0.000131692
137984	4.58624e-05
138112	8.06323e-05
138240	4.41221e-05
138368	3.62496e-05
138496	4.13855e-05
138624	4.52285e-05
138752	2.69722e-05
138880	7.43771e-05
139008	2.51713e-05
139136	2.22378e-05
139264	3.13272e-05
139392	5.1784e-05
139520	4.02466e-05
139648	1.80655e-05
139776	2.65358e-05
139904	1.28984e-05
140032	3.80872e-05
140160	2.37296e-05
140288	1.91621e-05
140416	1.64164e-05
140544	1.39915e-05
140672	1.41497e-05
140800	1.17871e-05
140928	2.74322e-05
141056	2.09086e-05
141184	1.44222e-05
141312	6.82567e-06
141440	2.01514e-05
141568	9.5946e-06
141696	1.02723e-05
141824	1.13827e-05
141952	1.01222e-05
142080	5.89519e-06
142208	6.72197e-06
142336	6.66228e-06
142464	7.45894e-06
142592	8.23499e-06
142720	8.72699e-06
142848	9.67738e-06
142976	1.01042e-05
143104	6.13095e-06
143232	9.97898e-06
143360	7.39251e-06
143488	7.01493e-06
143616	6.08827e-06
143744	9.62042e-06
143872	4.84939e-06
144000	2.99384e-06
144128	4.65277e-06
144256	6.66857e-06
