########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

199680	0.0949436
199808	0.0949766
199936	0.0947776
200064	0.0946772
200192	0.0948229
200320	0.0947967
200448	0.094881
200576	0.0948783
200704	0.0947356
200832	0.0947862
200960	0.0948649
201088	0.0948499
201216	0.0947886
201344	0.094766
201472	0.094853
201600	0.0947672
201728	0.0948285
201856	0.0948215
201984	0.0947551
202112	0.0947889
202240	0.0947808
202368	0.094763
202496	0.0947898
202624	0.0947629
202752	0.0947933
202880	0.0947557
203008	0.0947755
203136	0.0947942
203264	0.0947338
203392	0.0948994
203520	0.0948097
203648	0.0947341
203776	0.0947788
203904	0.0947309
204032	0.0947463
204160	0.0947565
204288	0.0948231
204416	0.0946876
204544	0.0947675
204672	0.0947516
204800	0.0947716
204928	0.0946752
205056	0.094718
205184	0.0947526
205312	0.0947737
205440	0.0947732
205568	0.0947895
205696	0.0946887
205824	0.0946767
205952	0.0948352
206080	0.0947073
206208	0.0946739
206336	0.0948028
206464	0.0947233
206592	0.094741
206720	0.0947791
206848	0.0948032
206976	0.0947039
207104	0.0948094
207232	0.0947219
207360	0.0948296
207488	0.0947396
207616	0.0947635
207744	0.0947775
207872	0.0947808
208000	0.094701
208128	0.0946763
208256	0.0947384
208384	0.0946633
208512	0.0947251
208640	0.0946609
208768	0.0947284
208896	0.0948139
209024	0.0948105
209152	0.0947131
209280	0.0947392
209408	0.094731
209536	0.0946657
209664	0.0947303
209792	0.0946824
209920	0.0947346
210048	0.0947785
210176	0.0946652
210304	0.0947477
210432	0.0947642
210560	0.0947307
210688	0.0947178
210816	0.0946984
210944	0.0947654
211072	0.0947488
211200	0.0946898
211328	0.094749
211456	0.0946658
211584	0.0947283
211712	0.0947213
