########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

116992	0.193931
117120	0.193978
117248	0.193386
117376	0.192970
117504	0.192088
117632	0.192443
117760	0.198030
117888	0.200375
118016	0.196617
118144	0.200319
118272	0.199273
118400	0.193220
118528	0.191798
118656	0.191775
118784	0.193787
118912	0.195380
119040	0.191930
119168	0.192270
119296	0.191002
119424	0.191443
119552	0.191794
119680	0.192178
119808	0.192394
119936	0.192486
120064	0.191503
120192	0.191923
120320	0.191798
120448	0.191243
120576	0.191122
120704	0.191615
120832	0.190766
120960	0.190545
121088	0.191042
121216	0.192277
121344	0.194449
121472	0.197885
121600	0.195619
121728	0.693207
121856	0.213072
121984	0.685423
122112	0.474838
122240	0.208795
122368	0.200596
122496	0.198131
122624	0.196140
122752	0.195305
122880	0.194765
123008	0.193695
123136	0.192959
123264	0.192783
123392	0.193014
123520	0.192006
123648	0.192045
123776	0.191584
123904	0.191594
124032	0.191389
124160	0.191168
124288	0.191451
124416	0.190950
124544	0.190561
124672	0.190272
124800	0.190065
124928	0.190620
125056	0.189859
125184	0.190222
125312	0.189412
125440	0.189849
125568	0.189399
125696	0.189565
125824	0.189649
125952	0.189362
126080	0.189126
126208	0.189108
126336	0.188546
126464	0.188817
126592	0.188756
126720	0.188863
126848	0.188457
126976	0.188472
127104	0.188485
127232	0.188701
127360	0.188426
127488	0.188371
127616	0.187779
127744	0.188416
127872	0.187892
128000	0.187443
128128	0.187592
128256	0.187316
128384	0.186929
128512	0.187118
128640	0.186947
128768	0.187072
128896	0.187047
129024	0.186644
129152	0.187046
129280	0.186905
129408	0.186489
129536	0.186596
129664	0.185975
129792	0.186738
129920	0.187456
130048	0.187955
130176	0.190896
130304	0.234295
130432	0.197303
130560	0.225100
130688	0.252398
130816	1.072013
130944	0.680103
131072	0.197160
131200	0.193660
131328	0.191760
131456	0.191124
131584	0.190320
131712	0.190203
131840	0.188809
131968	0.188989
132096	0.189402
132224	0.188702
132352	0.188694
132480	0.188329
132608	0.188650
132736	0.188112
132864	0.188330
132992	0.187718
133120	0.187999
133248	0.187518
133376	0.187759
133504	0.187579
133632	0.187696
133760	0.187250
133888	0.187900
134016	0.187509
134144	0.187430
134272	0.187334
134400	0.187492
134528	0.186653
134656	0.186861
134784	0.187284
134912	0.186984
135040	0.186467
135168	0.186999
135296	0.187089
135424	0.187127
135552	0.187265
135680	0.186946
135808	0.186420
135936	0.186567
136064	0.186316
136192	0.187618
136320	0.188611
136448	0.188314
136576	0.186611
136704	0.187019
136832	0.186465
136960	0.186175
137088	0.186401
137216	0.186072
137344	0.185734
137472	0.185831
137600	0.186029
137728	0.185620
137856	0.185734
137984	0.185790
138112	0.185345
138240	0.185198
138368	0.185604
138496	0.185160
138624	0.185321
138752	0.186965
138880	0.187036
139008	0.185900
139136	0.185564
139264	0.185307
139392	0.185290
139520	0.185356
139648	0.184859
139776	0.184985
139904	0.185594
140032	0.185874
140160	0.186329
140288	0.185658
140416	0.186192
140544	0.214657
140672	0.294441
140800	0.251304
140928	0.202205
141056	0.198303
141184	0.190855
141312	0.189248
141440	0.188097
141568	0.187279
141696	0.186692
141824	0.186347
141952	0.186394
142080	0.186122
142208	0.185779
142336	0.185596
142464	0.185653
142592	0.185750
142720	0.185311
142848	0.185093
142976	0.185525
143104	0.185413
143232	0.185010
143360	0.185242
143488	0.185018
143616	0.184910
143744	0.185012
143872	0.184988
144000	0.184835
144128	0.184852
144256	0.184694
144384	0.184741
144512	0.184494
144640	0.184669
144768	0.184913
144896	0.184827
145024	0.184507
145152	0.184601
145280	0.184504
145408	0.184747
145536	0.184325
145664	0.184469
145792	0.184576
145920	0.184188
146048	0.184476
146176	0.184273
146304	0.184291
146432	0.184310
146560	0.184219
146688	0.183872
146816	0.184071
146944	0.184289
147072	0.183769
147200	0.183938
147328	0.184356
147456	0.183863
147584	0.183831
147712	0.183896
147840	0.185569
147968	0.472036
148096	0.604077
148224	0.250304
148352	0.231705
148480	0.188019
148608	0.185971
148736	0.185498
148864	0.185370
148992	0.185648
149120	0.185570
149248	0.185369
149376	0.185606
149504	0.185266
149632	0.185107
149760	0.184753
149888	0.185567
150016	0.184851
150144	0.185346
150272	0.185165
150400	0.185157
150528	0.184945
150656	0.184584
150784	0.184846
150912	0.184866
151040	0.184290
151168	0.184652
151296	0.184720
151424	0.184428
151552	0.184808
151680	0.184570
151808	0.184886
151936	0.184832
152064	0.186002
152192	0.187702
152320	0.187708
152448	0.185972
152576	0.186405
152704	0.185399
152832	0.184135
152960	0.184363
153088	0.184329
153216	0.184201
153344	0.184747
153472	0.184770
153600	0.185835
153728	0.184129
153856	0.184287
153984	0.183904
154112	0.183936
154240	0.184291
154368	0.184340
154496	0.185540
154624	0.184221
154752	0.184248
154880	0.184040
155008	0.184945
155136	0.183933
155264	0.183762
155392	0.184154
155520	0.184404
155648	0.184975
155776	0.184248
155904	0.184110
156032	0.183844
156160	0.183857
156288	0.184110
156416	0.183691
156544	0.184257
156672	0.184086
156800	0.184607
156928	0.184178
157056	0.183611
157184	0.183773
157312	0.183688
157440	0.183664
157568	0.183634
157696	0.183554
157824	0.183589
157952	0.183030
158080	0.183816
158208	0.183368
158336	0.183270
158464	0.183626
158592	0.183339
158720	0.183214
158848	0.183281
158976	0.183113
159104	0.183397
159232	0.183471
159360	0.183182
159488	0.183152
159616	0.183060
159744	0.183068
159872	0.183065
160000	0.183090
160128	0.182725
160256	0.183177
160384	0.183075
160512	0.183276
160640	0.182943
160768	0.183851
160896	0.195774
161024	0.361230
161152	0.242563
161280	0.185459
161408	0.184511
161536	0.184406
161664	0.184134
161792	0.184272
161920	0.184108
162048	0.183884
162176	0.183667
162304	0.183804
162432	0.183861
162560	0.183536
162688	0.184039
162816	0.184198
162944	0.183717
163072	0.183809
163200	0.183833
163328	0.183595
163456	0.183704
163584	0.183789
163712	0.183447
163840	0.183661
163968	0.183401
164096	0.183556
164224	0.183806
164352	0.183521
164480	0.183545
164608	0.183539
164736	0.183457
164864	0.183467
164992	0.183349
165120	0.183598
165248	0.183218
165376	0.183231
165504	0.183459
165632	0.183381
165760	0.183402
165888	0.183408
