########

	Model: URNN with 6155 parameters on

#Task:
# Copying Task with T=100

########

186240	0.022835
186368	0.019223
186496	0.014960
186624	0.022536
186752	0.018231
186880	0.018454
187008	0.016957
187136	0.017347
187264	0.019419
187392	0.014231
187520	0.077128
187648	0.322418
187776	0.071593
187904	0.019776
188032	0.017902
188160	0.022436
188288	0.020394
188416	0.018755
188544	0.015027
188672	0.020268
188800	0.018789
188928	0.014731
189056	0.018659
189184	0.022386
189312	0.012767
189440	0.017198
189568	0.017917
189696	0.014657
189824	0.015958
189952	0.021748
190080	0.015339
190208	0.011598
190336	0.019054
190464	0.018128
190592	0.018602
190720	0.016241
190848	0.017988
190976	0.019355
191104	0.014039
191232	0.021250
191360	0.021416
191488	0.014292
191616	0.020698
191744	0.016490
191872	0.020185
192000	0.019741
192128	0.016638
192256	0.017276
192384	0.014962
192512	0.016865
192640	0.019864
192768	0.023689
192896	0.042275
193024	0.061458
193152	0.108938
193280	0.110286
193408	0.023977
193536	0.019816
193664	0.020112
193792	0.013475
193920	0.018550
194048	0.016166
194176	0.019270
194304	0.021264
194432	0.015021
194560	0.019160
194688	0.019225
194816	0.016023
194944	0.013206
195072	0.016088
195200	0.017175
195328	0.016806
195456	0.017115
195584	0.020453
195712	0.019225
195840	0.020015
195968	0.013433
196096	0.012594
196224	0.015412
196352	0.017691
196480	0.013962
196608	0.020066
196736	0.025454
196864	0.029907
196992	0.046264
197120	0.040854
197248	0.037858
197376	0.014518
197504	0.015610
197632	0.016092
197760	0.015866
197888	0.017241
198016	0.017298
198144	0.015273
198272	0.014404
198400	0.012333
198528	0.014212
198656	0.012301
198784	0.015528
198912	0.018565
199040	0.015558
199168	0.013967
199296	0.011783
199424	0.013864
199552	0.024762
199680	0.022649
199808	0.014433
199936	0.014387
200064	0.021821
200192	0.011823
200320	0.013954
200448	0.022884
200576	0.028464
200704	0.020698
200832	0.014664
200960	0.013095
201088	0.012969
201216	0.011674
201344	0.020415
201472	0.021899
201600	0.014737
201728	0.012662
201856	0.010556
201984	0.012863
202112	0.014541
202240	0.014953
202368	0.020756
202496	0.037650
202624	0.058158
202752	0.049152
202880	0.014664
203008	0.012009
203136	0.010898
203264	0.021788
203392	0.014071
203520	0.014385
203648	0.013090
203776	0.016877
203904	0.012458
204032	0.013171
204160	0.012474
204288	0.011426
204416	0.018306
204544	0.013456
204672	0.014430
204800	0.015126
204928	0.012627
205056	0.017063
205184	0.015100
205312	0.012802
205440	0.013159
205568	0.011557
205696	0.015393
205824	0.019515
205952	0.018966
206080	0.010959
206208	0.011269
206336	0.011492
206464	0.010330
206592	0.013666
206720	0.012813
206848	0.012148
206976	0.016972
207104	0.027055
207232	0.074635
207360	0.064019
207488	0.018435
207616	0.016671
207744	0.012517
207872	0.017329
208000	0.013440
208128	0.013261
208256	0.012728
208384	0.014154
208512	0.013076
208640	0.013722
208768	0.013878
208896	0.015411
209024	0.012163
209152	0.012918
209280	0.015143
209408	0.010578
209536	0.014805
209664	0.014065
209792	0.012729
209920	0.014260
210048	0.010954
210176	0.012697
210304	0.014178
210432	0.014334
210560	0.013513
210688	0.012621
210816	0.017867
210944	0.015240
211072	0.014025
211200	0.017696
211328	0.015330
211456	0.018675
211584	0.020559
211712	0.017919
211840	0.019694
211968	0.016416
212096	0.014010
212224	0.015935
212352	0.019960
212480	0.012272
212608	0.019484
212736	0.033973
212864	0.041082
212992	0.021546
213120	0.020229
213248	0.017545
213376	0.013328
213504	0.018160
213632	0.015845
213760	0.021701
213888	0.022143
214016	0.017066
214144	0.024943
214272	0.020702
214400	0.018233
214528	0.022015
214656	0.016842
214784	0.015049
214912	0.020556
215040	0.018552
215168	0.019915
215296	0.025904
215424	0.031999
215552	0.019936
215680	0.018602
215808	0.019149
215936	0.018647
216064	0.020485
216192	0.028112
216320	0.024223
216448	0.022212
216576	0.029091
216704	0.021962
216832	0.019176
216960	0.023064
217088	0.022091
217216	0.027166
217344	0.026108
217472	0.024616
217600	0.021617
217728	0.019977
217856	0.019362
217984	0.022782
218112	0.026296
218240	0.026083
218368	0.023536
218496	0.044103
218624	0.023143
218752	0.043217
218880	0.029647
219008	0.026700
219136	0.035840
219264	0.031873
219392	0.027229
219520	0.025654
219648	0.028105
219776	0.029395
219904	0.025066
220032	0.056139
220160	0.048151
220288	0.025158
220416	0.030246
220544	0.033765
220672	0.024837
220800	0.028469
220928	0.036786
