########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

187776	0.201111
187904	0.201327
188032	0.203647
188160	0.211416
188288	0.235205
188416	0.293903
188544	0.270585
188672	0.266318
188800	0.217787
188928	0.206614
189056	0.202625
189184	0.201302
189312	0.200265
189440	0.199657
189568	0.199028
189696	0.198957
189824	0.199582
189952	0.204268
190080	0.227812
190208	0.314353
190336	0.301138
190464	0.287525
190592	0.216793
190720	0.205141
190848	0.202548
190976	0.201338
191104	0.200576
191232	0.199796
191360	0.199000
191488	0.198399
191616	0.198230
191744	0.198067
191872	0.197674
192000	0.196943
192128	0.197596
192256	0.204681
192384	0.261851
192512	0.440129
192640	0.237501
192768	0.224322
192896	0.207625
193024	0.202874
193152	0.200962
193280	0.199910
193408	0.199116
193536	0.198975
193664	0.199362
193792	0.201258
193920	0.207998
194048	0.234179
194176	0.304168
194304	0.359851
194432	0.218585
194560	0.204842
194688	0.201710
194816	0.200561
194944	0.199819
195072	0.199014
195200	0.198597
195328	0.198301
195456	0.197672
195584	0.197641
195712	0.197273
195840	0.197787
195968	0.201298
196096	0.225293
196224	0.352364
196352	0.404883
196480	0.209509
196608	0.202288
196736	0.200777
196864	0.199962
196992	0.199452
197120	0.198920
197248	0.198405
197376	0.198081
197504	0.197696
197632	0.197376
197760	0.197112
197888	0.196965
198016	0.197894
198144	0.203631
198272	0.238787
198400	0.356873
198528	0.284140
198656	0.278435
198784	0.212883
198912	0.203201
199040	0.200571
199168	0.199530
199296	0.199016
199424	0.198406
199552	0.197714
199680	0.197436
199808	0.197150
199936	0.197014
200064	0.197933
200192	0.203473
200320	0.235955
200448	0.346234
200576	0.280098
200704	0.269251
200832	0.212229
200960	0.203097
201088	0.200536
201216	0.199525
201344	0.198775
201472	0.198276
201600	0.197674
201728	0.197004
201856	0.196927
201984	0.196702
202112	0.197128
202240	0.201247
202368	0.229997
202496	0.347096
202624	0.295547
202752	0.280594
202880	0.212096
203008	0.202974
203136	0.200645
203264	0.199685
203392	0.198666
203520	0.198135
203648	0.197516
203776	0.197237
203904	0.197040
204032	0.196644
204160	0.197321
204288	0.201273
204416	0.223998
204544	0.315218
204672	0.310824
204800	0.293191
204928	0.213317
205056	0.203149
205184	0.201069
205312	0.199787
205440	0.199146
205568	0.198612
205696	0.198071
205824	0.197668
205952	0.197121
206080	0.196505
206208	0.196109
206336	0.196504
206464	0.199007
206592	0.216202
206720	0.317359
206848	0.412842
206976	0.210881
207104	0.201716
207232	0.199855
207360	0.199055
207488	0.198334
207616	0.197756
207744	0.197565
207872	0.196964
208000	0.196569
208128	0.196542
208256	0.196092
208384	0.195938
208512	0.195939
208640	0.198438
208768	0.216274
208896	0.308828
209024	0.358466
209152	0.313429
209280	0.210073
209408	0.202068
209536	0.200262
209664	0.199872
209792	0.198815
209920	0.198294
210048	0.197574
210176	0.197307
210304	0.196720
210432	0.196324
210560	0.195820
210688	0.195675
210816	0.196006
210944	0.197980
211072	0.211755
211200	0.297118
211328	0.408304
211456	0.215383
211584	0.202752
211712	0.199257
211840	0.198515
211968	0.197781
212096	0.197316
212224	0.196693
212352	0.196573
212480	0.196019
212608	0.196179
212736	0.197215
212864	0.202029
212992	0.226899
213120	0.308555
213248	0.297495
