########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

144384.0	5.03792e-06
144512.0	3.41861e-06
144640.0	5.52455e-06
144768.0	3.52632e-06
144896.0	4.39818e-06
145024.0	3.56581e-06
145152.0	4.16291e-06
145280.0	3.50253e-06
145408.0	3.55811e-06
145536.0	3.71899e-06
145664.0	3.39335e-06
145792.0	3.87468e-06
145920.0	3.31705e-06
146048.0	2.88997e-06
146176.0	3.43161e-06
146304.0	3.00483e-06
146432.0	4.52951e-06
146560.0	3.99925e-06
146688.0	4.19366e-06
146816.0	3.88852e-06
146944.0	3.3882e-06
147072.0	3.086e-06
147200.0	2.93603e-06
147328.0	2.94117e-06
147456.0	3.23545e-06
147584.0	3.98921e-06
147712.0	3.72588e-06
147840.0	3.31806e-06
147968.0	3.06656e-06
148096.0	3.64458e-06
148224.0	3.4389e-06
148352.0	2.95655e-06
148480.0	2.56253e-06
148608.0	2.82405e-06
148736.0	2.70954e-06
148864.0	2.6932e-06
148992.0	2.9678e-06
149120.0	4.78102e-06
149248.0	1.63214e-05
149376.0	0.000464211
149504.0	0.00043613
149632.0	1.3763e-05
149760.0	9.88292e-06
149888.0	3.86315e-06
150016.0	3.31626e-06
150144.0	5.16791e-06
150272.0	6.19129e-06
150400.0	6.57077e-06
