########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

146688.0	0.0204027
146816.0	0.0204143
146944.0	0.0204129
147072.0	0.0203677
147200.0	0.0203935
147328.0	0.020395
147456.0	0.0204041
147584.0	0.0204132
147712.0	0.0203876
147840.0	0.0204145
147968.0	0.0203819
148096.0	0.0204183
148224.0	0.0204056
148352.0	0.0204017
148480.0	0.0204387
148608.0	0.0204035
148736.0	0.0204085
148864.0	0.0203812
148992.0	0.0203656
149120.0	0.020391
149248.0	0.0203954
149376.0	0.0204307
149504.0	0.0204055
149632.0	0.0204131
149760.0	0.0203702
149888.0	0.0204103
150016.0	0.0204075
150144.0	0.0203914
150272.0	0.0204032
150400.0	0.0204456
150528.0	0.0204319
150656.0	0.0204022
150784.0	0.0204132
150912.0	0.0204026
151040.0	0.0203956
151168.0	0.0203999
151296.0	0.020422
151424.0	0.0204333
151552.0	0.0204095
151680.0	0.0203804
151808.0	0.0203943
151936.0	0.020429
152064.0	0.020384
152192.0	0.0204304
152320.0	0.0203669
152448.0	0.020387
152576.0	0.0204432
152704.0	0.0203919
152832.0	0.0203912
152960.0	0.0203864
153088.0	0.0203818
153216.0	0.0203973
153344.0	0.0204102
153472.0	0.0204132
153600.0	0.0204121
153728.0	0.0203985
153856.0	0.0203802
153984.0	0.0203894
154112.0	0.0204386
154240.0	0.0204008
154368.0	0.0203826
154496.0	0.0204233
154624.0	0.0203854
154752.0	0.0203908
154880.0	0.0204149
155008.0	0.0203867
155136.0	0.0204045
155264.0	0.0204215
155392.0	0.020404
155520.0	0.020358
155648.0	0.0204076
155776.0	0.0204334
155904.0	0.0204268
156032.0	0.0203864
156160.0	0.0204229
156288.0	0.0203713
156416.0	0.0204236
156544.0	0.0204124
156672.0	0.0204154
156800.0	0.0204234
156928.0	0.0203986
157056.0	0.0203912
157184.0	0.020396
157312.0	0.0204081
157440.0	0.0203919
157568.0	0.0204094
157696.0	0.0204317
157824.0	0.0203889
157952.0	0.0203899
158080.0	0.020387
158208.0	0.0203997
158336.0	0.0204132
158464.0	0.0203963
158592.0	0.020439
158720.0	0.0204039
158848.0	0.0203803
158976.0	0.0204395
159104.0	0.0203893
159232.0	0.0204002
159360.0	0.0204181
159488.0	0.0203694
159616.0	0.0203981
159744.0	0.0203918
159872.0	0.0203998
160000.0	0.0203967
160128.0	0.0204616
160256.0	0.0204148
160384.0	0.0204088
160512.0	0.0203929
160640.0	0.020378
160768.0	0.0204042
160896.0	0.020415
161024.0	0.0203864
161152.0	0.0204081
161280.0	0.0203796
161408.0	0.0204011
161536.0	0.0203964
161664.0	0.0203986
161792.0	0.0204051
161920.0	0.0203917
162048.0	0.0204068
162176.0	0.0204132
162304.0	0.0203949
162432.0	0.0203801
162560.0	0.0203964
