########

	Model: LSTM with 7323 parameters on

#Task:
# Copying Task with T=200

########

184192	0.031502
184320	0.031537
184448	0.031529
184576	0.031476
184704	0.031507
184832	0.031533
184960	0.031520
185088	0.031516
185216	0.031466
185344	0.031521
185472	0.031517
185600	0.031516
185728	0.031523
185856	0.031453
185984	0.031516
186112	0.031511
186240	0.031515
186368	0.031549
186496	0.031517
186624	0.031536
186752	0.031529
186880	0.031508
187008	0.031495
187136	0.031508
187264	0.031509
187392	0.031496
187520	0.031483
187648	0.031499
187776	0.031475
187904	0.031514
188032	0.031512
188160	0.031452
188288	0.031469
188416	0.031499
188544	0.031488
188672	0.031504
188800	0.031469
188928	0.031392
189056	0.031552
189184	0.031514
189312	0.031511
189440	0.031513
189568	0.031502
189696	0.031460
189824	0.031437
189952	0.031412
190080	0.031439
190208	0.031452
190336	0.031478
190464	0.031460
190592	0.031467
190720	0.031496
190848	0.031514
190976	0.031520
191104	0.031474
191232	0.031439
191360	0.031426
191488	0.031468
191616	0.031498
191744	0.031502
191872	0.031493
192000	0.031500
192128	0.031486
192256	0.031504
192384	0.031518
192512	0.031521
192640	0.031488
192768	0.031447
192896	0.031513
193024	0.031498
193152	0.031484
193280	0.031564
193408	0.031515
193536	0.031460
193664	0.031496
193792	0.031451
193920	0.031546
194048	0.031487
194176	0.031479
194304	0.031490
194432	0.031492
194560	0.031475
194688	0.031520
194816	0.031518
194944	0.031510
195072	0.031445
195200	0.031496
195328	0.031505
195456	0.031489
195584	0.031482
195712	0.031518
195840	0.031509
195968	0.031526
196096	0.031515
196224	0.031449
196352	0.031413
196480	0.031537
196608	0.031526
196736	0.031458
196864	0.031529
196992	0.031462
197120	0.031511
197248	0.031500
197376	0.031487
197504	0.031493
197632	0.031488
197760	0.031449
197888	0.031489
198016	0.031517
198144	0.031516
198272	0.031427
198400	0.031519
198528	0.031496
198656	0.031486
198784	0.031533
198912	0.031451
199040	0.031464
199168	0.031501
199296	0.031511
199424	0.031519
199552	0.031423
199680	0.031522
199808	0.031535
199936	0.031520
200064	0.031523
200192	0.031496
200320	0.031490
200448	0.031502
200576	0.031440
200704	0.031513
200832	0.031504
200960	0.031475
201088	0.031511
201216	0.031516
201344	0.031466
201472	0.031506
201600	0.031515
201728	0.031488
201856	0.031498
201984	0.031531
202112	0.031519
202240	0.031514
202368	0.031515
202496	0.031510
202624	0.031487
202752	0.031453
202880	0.031489
203008	0.031476
203136	0.031427
203264	0.031540
203392	0.031479
203520	0.031412
203648	0.031525
203776	0.031479
203904	0.031458
204032	0.031406
204160	0.031509
204288	0.031457
204416	0.031509
204544	0.031512
204672	0.031487
204800	0.031481
204928	0.031503
205056	0.031416
205184	0.031502
205312	0.031513
205440	0.031510
205568	0.031470
205696	0.031523
205824	0.031508
205952	0.031446
206080	0.031515
206208	0.031504
206336	0.031513
206464	0.031510
206592	0.031528
206720	0.031555
206848	0.031484
206976	0.031517
207104	0.031510
207232	0.031481
207360	0.031494
207488	0.031492
207616	0.031481
207744	0.031472
207872	0.031506
208000	0.031527
208128	0.031497
208256	0.031486
208384	0.031478
208512	0.031470
208640	0.031383
208768	0.031512
208896	0.031514
209024	0.031395
209152	0.031486
209280	0.031517
209408	0.031484
209536	0.031501
209664	0.031446
209792	0.031497
209920	0.031426
210048	0.031483
210176	0.031532
210304	0.031510
210432	0.031500
210560	0.031435
210688	0.031475
210816	0.031484
210944	0.031521
211072	0.031488
211200	0.031365
211328	0.031407
211456	0.031515
211584	0.031492
211712	0.031461
211840	0.031457
211968	0.031479
212096	0.031425
212224	0.031491
212352	0.031447
212480	0.031504
212608	0.031438
212736	0.031446
212864	0.031355
212992	0.031515
213120	0.031513
213248	0.031493
213376	0.031483
213504	0.031419
213632	0.031516
213760	0.031444
213888	0.031493
214016	0.031454
214144	0.031518
214272	0.031457
214400	0.031422
214528	0.031502
214656	0.031436
214784	0.031510
214912	0.031469
215040	0.031486
215168	0.031457
215296	0.031516
215424	0.031470
215552	0.031487
215680	0.031484
215808	0.031457
215936	0.031494
216064	0.031516
216192	0.031490
216320	0.031497
216448	0.031493
216576	0.031509
216704	0.031490
216832	0.031473
216960	0.031448
217088	0.031486
217216	0.031517
217344	0.031492
217472	0.031514
217600	0.031472
217728	0.031445
217856	0.031494
217984	0.031492
218112	0.031367
218240	0.031496
218368	0.031488
218496	0.031488
218624	0.031494
218752	0.031419
218880	0.031486
219008	0.031481
219136	0.031472
219264	0.031477
219392	0.031511
219520	0.031502
219648	0.031502
219776	0.031314
219904	0.031518
220032	0.031506
220160	0.031506
220288	0.031460
220416	0.031497
220544	0.031470
220672	0.031481
220800	0.031445
